# Cross-world profiling summary
# Worlds analyzed: 3k_shapes_dynamic, 3k_shapes_static, gpu_lidar, jetty_headless, sensors_demo, sensors_nonrendering
# Date: 2026-05-02 16:34
# Ranked by max_score desc, then worlds_present desc
rank	function_name	max_score	worlds_present	worst_world	cpu_range	cache_range	evidence
106	void gz::sim::v11::EntityComponentManager::Each<gz::sim::v11::components::Component<std::add_lvalue_reference<void>, gz::sim::v11::components::JointTag, gz::sim::v11::serializers::DefaultSerializer<std::add_lvalue_reference<void> > >, gz::sim::v11::components::Component<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, gz::sim::v11::components::NameTag, gz::sim::v11::serializers::StringSerializer> >	10	1/6	sensors_nonrendering (2.4%)	2.4-2.4%	-	cpu
107	gz::sim::v11::systems::PhysicsPrivate::UpdateModelPose	10	1/6	3k_shapes_dynamic (1.8%)	1.8-1.8%	-	cpu
108	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_M_put_node	10	1/6	3k_shapes_static (1.1%)	1.1-1.1%	0.2-0.2	cpu,cache
109	gz::sim::v11::detail::BaseView::ResetNewEntityState	5	2/6	gpu_lidar (0.9%)	0.6-0.9%	-	cpu
110	gz::sim::v11::systems::SceneBroadcasterPrivate::SceneGraphRemoveEntities	5	2/6	gpu_lidar (0.6%)	0.6-0.7%	-	cpu
111	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_Auto_node::_M_insert	5	1/6	3k_shapes_static (0.7%)	0.7-0.7%	0.9-0.9	cpu,cache
112	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_S_right	5	1/6	3k_shapes_static (0.7%)	0.7-0.7%	0.7-0.7	cpu,cache
113	gz::physics::dartsim::GzContactSurfaceHandler::createParams	5	1/6	jetty_headless (0.7%)	0.7-0.7%	-	cpu
114	std::unordered_map<unsigned long, gz::math::v10::Pose3<double>, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, gz::math::v10::Pose3<double> > > >::operator[]	5	1/6	3k_shapes_static (0.9%)	0.9-0.9%	-	cpu
115	bool gz::sim::v11::detail::applyFunction<gz::sim::v11::components::Component<gz::math::v10::Vector3<double>, gz::sim::v11::components::GravityTag, gz::sim::v11::serializers::DefaultSerializer<gz::math::v10::Vector3<double> > >, std::function<bool 	5	1/6	3k_shapes_static (0.8%)	0.8-0.8%	-	cpu
116	gz::sensors::v11::Lidar::PublishLidarScan	5	1/6	gpu_lidar (0.8%)	0.8-0.8%	-	cpu
117	gz::common::Image::Valid	5	1/6	jetty_headless (0.7%)	0.7-0.7%	-	cpu
118	gz::common::Image::Width	5	1/6	jetty_headless (0.9%)	0.9-0.9%	-	cpu
119	gz::sim::v11::systems::ImuPrivate::CreateSensors	5	1/6	sensors_nonrendering (0.6%)	0.6-0.6%	-	cpu
120	gz::common::ColladaLoader::Implementation::LoadGeometry	5	1/6	jetty_headless (0.7%)	0.7-0.7%	-	cpu
121	std::_Rb_tree<unsigned long, std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> >, std::_Select1st<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, std::reference_wrapper<gz::math::v10::graph::Vertex<unsigned long> const> > > >::_M_insert_node	5	1/6	3k_shapes_static (0.7%)	0.7-0.7%	0.9-0.9	cpu,cache
122	gz::math::v10::graph::Graph<unsigned long, bool, gz::math::v10::graph::DirectedEdge<bool> >::AdjacentsFrom	5	1/6	3k_shapes_dynamic (0.7%)	0.7-0.7%	-	cpu
123	std::__new_allocator<std::__detail::_Hash_node<std::pair<unsigned long const, gz::math::v10::Pose3<double> >, false> >::allocate	5	1/6	3k_shapes_static (0.6%)	0.6-0.6%	-	cpu
124	gz::sim::v11::systems::AirPressurePrivate::CreateSensors	5	1/6	sensors_nonrendering (0.6%)	0.6-0.6%	-	cpu
125	gz::sim::v11::systems::ForceTorque::Update	5	1/6	sensors_nonrendering (0.6%)	0.6-0.6%	-	cpu
126	gz::sim::v11::detail::View* gz::sim::v11::EntityComponentManager::FindView<gz::sim::v11::components::Component<std::add_lvalue_reference<void>, gz::sim::v11::components::WorldTag, gz::sim::v11::serializers::DefaultSerializer<std::add_lvalue_reference<void> > > >	5	1/6	sensors_nonrendering (0.6%)	0.6-0.6%	-	cpu
127	std::__detail::_Hash_node<std::pair<unsigned long const, gz::math::v10::Pose3<double> >, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<unsigned long const, gz::math::v10::Pose3<double> >, false> > >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<unsigned long const&>, std::tuple<> >	5	1/6	3k_shapes_static (0.6%)	0.6-0.6%	-	cpu
128	void gz::sim::v11::EntityComponentManager::Each<gz::sim::v11::components::Component<std::add_lvalue_reference<void>, gz::sim::v11::components::JointTag, gz::sim::v11::serializers::DefaultSerializer<std::add_lvalue_reference<void> > >, gz::sim::v11::components::Component<gz::msgs::Wrench, gz::sim::v11::components::JointTransmittedWrenchTag, gz::sim::v11::serializers::MsgSerializer> >	5	1/6	sensors_nonrendering (0.8%)	0.8-0.8%	-	cpu
129	gz::sim::v11::EntityComponentManager::ParentEntity	5	1/6	3k_shapes_dynamic (0.6%)	0.6-0.6%	-	cpu
130	gz::sim::v11::RenderUtilPrivate::UpdateRenderingEntities	5	1/6	gpu_lidar (0.8%)	0.8-0.8%	-	cpu
131	gz::sim::v11::systems::PhysicsPrivate::ChangedLinks	5	1/6	3k_shapes_dynamic (0.5%)	0.5-0.5%	-	cpu
132	std::__detail::_Map_base<unsigned long, std::pair<unsigned long const, gz::math::v10::Pose3<double> >, std::allocator<std::pair<unsigned long const, gz::math::v10::Pose3<double> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[]	5	1/6	3k_shapes_static (0.9%)	0.9-0.9%	-	cpu
133	std::_Hashtable<unsigned long, std::pair<unsigned long const, gz::math::v10::Pose3<double> >, std::allocator<std::pair<unsigned long const, gz::math::v10::Pose3<double> > >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_Scoped_node::_Scoped_node<std::piecewise_construct_t const&, std::tuple<unsigned long const&>, std::tuple<> >	5	1/6	3k_shapes_static (0.6%)	0.6-0.6%	-	cpu
134	void gz::sim::v11::EntityComponentManager::Each<gz::sim::v11::components::Component<gz::math::v10::Pose3<double>, gz::sim::v11::components::PoseTag, gz::sim::v11::serializers::DefaultSerializer<gz::math::v10::Pose3<double> > >, gz::sim::v11::components::Component<gz::math::v10::Vector3<double>, gz::sim::v11::components::WorldLinearVelocityTag, gz::sim::v11::serializers::DefaultSerializer<gz::math::v10::Vector3<double> > >, gz::sim::v11::components::Component<unsigned long, gz::sim::v11::components::ParentEntityTag, gz::sim::v11::serializers::DefaultSerializer<unsigned long> > >	5	1/6	sensors_nonrendering (0.7%)	0.7-0.7%	-	cpu
135	gz::sim::v11::systems::AltimeterPrivate::CreateSensors	5	1/6	sensors_nonrendering (0.6%)	0.6-0.6%	-	cpu
136	void gz::sim::v11::EntityComponentManager::Each<gz::sim::v11::components::Component<gz::math::v10::Vector3<double>, gz::sim::v11::components::GravityTag, gz::sim::v11::serializers::DefaultSerializer<gz::math::v10::Vector3<double> > > >	5	1/6	3k_shapes_static (0.8%)	0.8-0.8%	-	cpu
137	bool gz::sim::v11::detail::applyFunctionImpl<gz::sim::v11::components::Component<gz::math::v10::Vector3<double>, gz::sim::v11::components::GravityTag, gz::sim::v11::serializers::DefaultSerializer<gz::math::v10::Vector3<double> > >, std::function<bool 	5	1/6	3k_shapes_static (0.8%)	0.8-0.8%	-	cpu
138	std::allocator_traits<std::allocator<std::__detail::_Hash_node<std::pair<unsigned long const, gz::math::v10::Pose3<double> >, false> > >::allocate	5	1/6	3k_shapes_static (0.6%)	0.6-0.6%	-	cpu
139	gz::common::ColladaLoader::Implementation::LoadScene	5	1/6	jetty_headless (0.7%)	0.7-0.7%	-	cpu
140	gz::math::v10::graph::Graph<unsigned long, bool, gz::math::v10::graph::DirectedEdge<bool> >::AdjacentsTo	5	1/6	3k_shapes_dynamic (0.6%)	0.6-0.6%	-	cpu
141	gz::common::Image::Height	5	1/6	jetty_headless (0.7%)	0.7-0.7%	-	cpu
142	gz::math::eigen3::convert	5	1/6	3k_shapes_static (0.6%)	0.6-0.6%	-	cpu
143	stbi__idct_simd	5	1/6	jetty_headless (0.8%)	0.8-0.8%	-	cpu
144	gz::common::ColladaLoader::Load	5	1/6	jetty_headless (0.7%)	0.7-0.7%	-	cpu
145	stbi__grow_buffer_unsafe	5	1/6	jetty_headless (0.6%)	0.6-0.6%	-	cpu
146	gz::transport::v16::Node::Publisher::Valid	5	1/6	sensors_nonrendering (0.5%)	0.5-0.5%	-	cpu
147	gz::sim::v11::systems::JointPositionController::PreUpdate	5	1/6	jetty_headless (0.5%)	0.5-0.5%	-	cpu
148	gz::common::ColladaLoader::Implementation::LoadNode	5	1/6	jetty_headless (0.7%)	0.7-0.7%	-	cpu
